rent_price,m2,Deposit,Type_of_building,room_number,Building_material,Year_of_construction,floor,windows,Number_of_floors,Heating,media,security,link_2,Additional_information,Equipment,location,latitude,longitude
2500.0,50.0,2500.0,,2.0,,2019.0,8.0,,25.0,,,,https://www.otodom.pl/pl/oferta/dwupokojowy-apartament-w-aura-sky-ID4cXU9,"balkon, pom. użytkowe",,"Marii Rodziewiczówny, Osiedle Ostrobramska, Grochów-Południowy, Praga-Południe, Warszawa, województwo mazowieckie, 04-187, Polska",52.2359767,21.1134795
5200.0,80.0,7300.0,apartamentowiec,3.0,,,2.0,,6.0,,telewizja kablowa,"domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/luksusowy-apartament-na-powislu-solec-residence-ID4dpiE,"klimatyzacja, balkon, garaż/miejsce parkingowe, winda",,"Solec, Powiśle, Śródmieście, Warszawa, województwo mazowieckie, 00382, Polska",52.2355039,21.0320844
6200.0,133.82,6200.0,apartamentowiec,5.0,inne,2000.0,5.0,drewniane,7.0,miejskie,,domofon / wideofon,https://www.otodom.pl/pl/oferta/mieszkanie-133-82-m-warszawa-ID4dvh9,"balkon, winda",,"Zygmunta Słomińskiego, Nowe Miasto, Śródmieście, Warszawa, województwo mazowieckie, 00-204, Polska",52.2583956,20.9970271
1700.0,32.0,,,2.0,,2003.0,,plastikowe,5.0,,,,https://www.otodom.pl/pl/oferta/czynsz-w-cenie-2-pok-duzy-balkon-przy-parku-ID4dnj0,"balkon, winda",,"Obrońców Tobruku, Fort Bema, Bemowo, Warszawa, województwo mazowieckie, 01-494, Polska",52.2538544,20.9319867
2000.0,30.0,,blok,1.0,cegła,2000.0,5.0,drewniane,,miejskie,,monitoring / ochrona,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-1-pokojowe-rondo-wiatraczna-ID48Ykq,"balkon, winda, tylko dla niepalących","lodówka, meble, piekarnik, kuchenka, pralka","Giuseppe Garibaldiego, Osiedle Kinowa, Grochów-Kinowa, Praga-Południe, Warszawa, województwo mazowieckie, 04-078, Polska",52.2440456,21.0829522
4200.0,83.37,4500.0,apartamentowiec,3.0,inne,2006.0,2.0,drewniane,4.0,miejskie,,"domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/mieszkanie-83-37-m-warszawa-ID4cBfo,"balkon, winda",meble,"Sarmacka, Nowy Wilanów, Błonia Wilanowskie, Wilanów, Warszawa, województwo mazowieckie, 02-999, Polska",52.1579721,21.0810623
1600.0,30.4,1950.0,kamienica,1.0,cegła,1935.0,6.0,plastikowe,6.0,gazowe,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",https://www.otodom.pl/pl/oferta/cicha-i-klimatyczna-kawalerka-top-lokalizacja-ID48WKN,"piwnica, garaż/miejsce parkingowe, winda, tylko dla niepalących, oddzielna kuchnia","lodówka, meble, kuchenka, pralka","Praga-Północ, Warszawa, województwo mazowieckie, Polska",52.2648843,21.0273442
1700.0,25.0,2000.0,apartamentowiec,1.0,cegła,2019.0,3.0,plastikowe,4.0,miejskie,telewizja kablowa,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/nowy-mini-apartament-na-targowku-przy-metro-trocka-ID46jch,"balkon, winda","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","3, Płosa, Targówek Mieszkaniowy, Targówek, Warszawa, województwo mazowieckie, 03-531, Polska",52.281390849999994,21.047118021042074
1400.0,27.0,1000.0,blok,1.0,,,9.0,plastikowe,10.0,miejskie,,"drzwi / okna antywłamaniowe, domofon / wideofon",https://www.otodom.pl/pl/oferta/1-pokoj-27m2-ul-piotra-wysockiego-ID4dpgk,"balkon, winda",,,,
2600.0,40.0,3000.0,apartamentowiec,2.0,,2018.0,8.0,,8.0,,,"system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/2-pokojowe-na-najwyzszym-pietrze-konstruktorska-ID4doji,"balkon, garaż/miejsce parkingowe, winda, tylko dla niepalących","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Konstruktorska, Służewiec, Mokotów, Warszawa, województwo mazowieckie, 02-673, Polska",52.1855223,20.9958308
5100.0,60.0,6000.0,apartamentowiec,3.0,,2021.0,4.0,plastikowe,6.0,miejskie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/mokotow-60m2-3-pok-nowe-duze-szafy-a-c-wolne-ID4dhAL,"klimatyzacja, balkon, garaż/miejsce parkingowe, winda","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Taśmowa, Służewiec, Mokotów, Warszawa, województwo mazowieckie, 02-677, Polska",52.1777589,20.9889639
